order_date,order_id,customer_id,segment,channel,region,city,product_category,product_name,units,unit_price,discount_pct,revenue,cost,margin_value,payment_method
2024-02-01,O20240244,C12641,Consumer,Retail,LatAm,Lima,Verduras,Cebolla Kg,14,1.47,0.126,17.99,12.59,5.4,Credit
2025-08-18,O20244662,C12945,Consumer,Online,AMBA,GBA Norte,Verduras,Tomate Kg,11,1.47,0.058,15.23,10.66,4.57,Credit
2025-05-14,O20243919,C10568,Consumer,Retail,AMBA,GBA Sur,Lácteos,Leche 1L,10,2.85,0.092,25.88,20.19,5.69,Cash
2025-09-16,O20244900,C10974,Consumer,Online,Santa Fe,Santa Fe,Suplementos,Whey 1kg,10,10.25,0.0,102.5,56.38,46.12,Credit
2025-01-08,O20242923,C10167,Consumer,Online,LatAm,Lima,Frutas,Uva Kg,5,1.77,0.087,8.08,5.82,2.26,Transfer
2025-07-16,O20244429,C12897,SMB,Retail,Córdoba,Villa María,Lácteos,Queso Cremoso 500g,10,1.07,0.111,9.51,7.42,2.09,Cash
2025-06-21,O20244236,C10471,SMB,Wholesale,Santa Fe,Rafaela,Frutas,Banana Kg,10,2.75,0.089,25.05,18.04,7.01,Debit
2024-07-11,O20241533,C12889,SMB,Wholesale,LatAm,Montevideo,Frutas,Manzana Kg,4,1.75,0.1,6.3,4.54,1.76,Debit
2024-10-16,O20242300,C11438,Consumer,Retail,Santa Fe,Rafaela,Panificados,Medialunas Docena,17,1.09,0.029,17.99,12.05,5.94,Debit
2025-01-26,O20243069,C11536,Consumer,Online,Rosario,Rosario,Frutas,Manzana Kg,20,2.5,0.069,46.55,33.52,13.03,Credit
2024-06-20,O20241366,C13169,SMB,Online,Córdoba,Villa María,Panificados,Medialunas Docena,19,1.34,0.178,20.93,14.02,6.91,Transfer
2024-10-30,O20242389,C11312,Consumer,Retail,Córdoba,Córdoba,Panificados,Pan Lacteado,2,1.81,0.119,3.19,2.14,1.05,Debit
2024-07-01,O20241458,C10254,Consumer,Online,Córdoba,Córdoba,Lácteos,Yogur 1L,17,2.55,0.083,39.75,31.01,8.74,Credit
2024-02-21,O20240426,C12607,Consumer,Wholesale,Córdoba,Córdoba,Suplementos,Whey 1kg,3,26.57,0.141,68.47,37.66,30.81,Cash
2025-04-06,O20243635,C11245,Consumer,Online,Córdoba,Córdoba,Panificados,Medialunas Docena,15,1.58,0.088,21.61,14.48,7.13,Cash
2024-05-17,O20241103,C12061,Consumer,Retail,Santa Fe,Rafaela,Bebidas,Agua 500ml,12,2.16,0.149,22.06,16.54,5.52,Debit
2025-08-05,O20244579,C10541,Consumer,Online,Córdoba,Córdoba,Lácteos,Queso Cremoso 500g,7,2.77,0.089,17.66,13.77,3.89,Credit
2024-12-05,O20242652,C11356,Consumer,Retail,AMBA,CABA,Snacks,Mix Frutos Secos,15,2.69,0.01,39.95,25.97,13.98,Credit
2025-01-14,O20242970,C10036,Consumer,Online,AMBA,CABA,Lácteos,Yogur 1L,9,1.67,0.0,15.03,11.72,3.31,Transfer
2025-07-13,O20244403,C12684,Consumer,Online,LatAm,Lima,Frutas,Banana Kg,3,1.55,0.06,4.37,3.15,1.22,Cash
2025-04-28,O20243804,C12291,SMB,Wholesale,Córdoba,Río Cuarto,Suplementos,Multivitamínico,6,32.72,0.209,155.29,85.41,69.88,Debit
2024-11-26,O20242592,C10343,Consumer,Retail,Rosario,Rosario,Panificados,Pan Integral,13,2.17,0.009,27.96,18.73,9.23,Cash
2024-01-10,O20240077,C10636,SMB,Online,Córdoba,Córdoba,Suplementos,Whey 1kg,6,29.16,0.055,165.34,90.94,74.4,Debit
2024-03-22,O20240670,C12939,SMB,Online,Córdoba,Villa María,Panificados,Medialunas Docena,16,2.04,0.009,32.35,21.67,10.68,Transfer
2025-09-17,O20244905,C11459,Enterprise,Online,AMBA,GBA Oeste,Bebidas,Gaseosa Cola,6,1.31,0.11,7.0,5.25,1.75,Cash
2024-06-22,O20241388,C10385,SMB,Online,LatAm,Santiago,Lácteos,Queso Cremoso 500g,19,2.3,0.041,41.91,32.69,9.22,Credit
2024-04-14,O20240853,C10639,Consumer,Online,LatAm,Lima,Panificados,Medialunas Docena,9,2.09,0.106,16.82,11.27,5.55,Credit
2025-09-19,O20244922,C12447,Consumer,Online,Córdoba,Río Cuarto,Frutas,Manzana Kg,13,2.23,0.035,27.98,20.15,7.83,Credit
2025-07-01,O20244302,C13113,Consumer,Retail,LatAm,Asunción,Verduras,Lechuga Unidad,14,2.54,0.13,30.94,21.66,9.28,Debit
2024-10-19,O20242314,C10395,Enterprise,Online,AMBA,GBA Norte,Bebidas,Jugo Naranja,3,1.31,0.038,3.78,2.84,0.94,Debit
2025-05-09,O20243888,C10973,Consumer,Retail,LatAm,Montevideo,Lácteos,Queso Cremoso 500g,9,1.3,0.098,10.55,8.23,2.32,Credit
2025-02-10,O20243205,C12503,Consumer,Online,LatAm,Asunción,Lácteos,Yogur 1L,19,2.92,0.1,49.93,38.95,10.98,Credit
2024-08-22,O20241853,C10523,Consumer,Online,Córdoba,Río Cuarto,Panificados,Medialunas Docena,7,1.76,0.0,12.32,8.25,4.07,Debit
2024-01-26,O20240193,C10342,Consumer,Online,Santa Fe,Rafaela,Verduras,Cebolla Kg,4,2.32,0.079,8.55,5.99,2.56,Cash
2025-06-21,O20244232,C12605,Consumer,Wholesale,Córdoba,Villa María,Snacks,Mix Frutos Secos,5,1.89,0.156,7.98,5.19,2.79,Credit
2025-04-14,O20243699,C12981,Enterprise,Online,Rosario,Rosario,Frutas,Manzana Kg,7,2.22,0.091,14.13,10.17,3.96,Debit
2025-01-22,O20243041,C12686,Consumer,Wholesale,Santa Fe,Rafaela,Panificados,Pan Integral,19,1.87,0.188,28.85,19.33,9.52,Credit
2024-01-16,O20240119,C11579,Consumer,Wholesale,AMBA,GBA Oeste,Frutas,Naranja Kg,8,2.71,0.158,18.25,13.14,5.11,Credit
2024-03-29,O20240723,C12264,Consumer,Retail,Rosario,Rosario,Bebidas,Agua 1.5L,12,1.62,0.09,17.69,13.27,4.42,Transfer
2025-04-12,O20243679,C11106,Enterprise,Online,Mendoza,San Rafael,Bebidas,Jugo Naranja,9,1.35,0.18,9.96,7.47,2.49,Credit
2025-09-22,O20244943,C11934,Enterprise,Retail,Mendoza,Mendoza,Verduras,Cebolla Kg,4,2.0,0.076,7.39,5.17,2.22,Cash
2024-10-16,O20242295,C10779,SMB,Online,AMBA,GBA Norte,Panificados,Pan Lacteado,16,1.07,0.022,16.74,11.22,5.52,Credit
2024-08-15,O20241813,C11810,Consumer,Online,LatAm,Lima,Frutas,Uva Kg,14,2.51,0.114,31.13,22.41,8.72,Transfer
2025-06-22,O20244244,C13483,SMB,Retail,Mendoza,San Rafael,Snacks,Papas Onduladas,6,2.68,0.065,15.03,9.77,5.26,Debit
2025-01-27,O20243073,C10539,Consumer,Wholesale,AMBA,GBA Sur,Panificados,Pan Integral,13,1.26,0.089,14.92,10.0,4.92,Debit
2025-06-13,O20244180,C12464,SMB,Retail,LatAm,Asunción,Panificados,Pan Lacteado,9,1.19,0.066,10.0,6.7,3.3,Transfer
2024-11-26,O20242593,C11103,Consumer,Online,Rosario,Rosario,Lácteos,Leche 1L,6,2.73,0.027,15.94,12.43,3.51,Cash
2024-08-06,O20241729,C12418,Consumer,Retail,LatAm,Asunción,Snacks,Papas Clásicas,8,1.94,0.051,14.73,9.57,5.16,Credit
2024-04-12,O20240825,C10819,Consumer,Online,AMBA,GBA Sur,Suplementos,Multivitamínico,1,26.73,0.022,26.14,14.38,11.76,Credit
2025-04-15,O20243701,C11233,SMB,Online,Rosario,Rosario,Suplementos,Creatina 300g,7,23.86,0.031,161.84,89.01,72.83,Credit
2024-01-15,O20240112,C10134,SMB,Retail,AMBA,GBA Sur,Panificados,Pan Integral,6,1.72,0.075,9.55,6.4,3.15,Credit
2025-02-24,O20243304,C12928,Consumer,Retail,AMBA,GBA Norte,Snacks,Mix Frutos Secos,18,2.44,0.055,41.5,26.98,14.52,Credit
2024-07-12,O20241542,C13317,Consumer,Retail,Santa Fe,Rafaela,Frutas,Manzana Kg,4,1.55,0.155,5.24,3.77,1.47,Debit
2024-06-07,O20241271,C10784,Consumer,Retail,LatAm,Santiago,Frutas,Naranja Kg,19,1.6,0.08,27.97,20.14,7.83,Credit
2024-03-11,O20240574,C12102,SMB,Wholesale,Rosario,Rosario,Snacks,Barra Cereal,8,2.68,0.056,20.24,13.16,7.08,Credit
2024-04-20,O20240901,C12180,SMB,Retail,Santa Fe,Rosario,Verduras,Lechuga Unidad,6,2.16,0.0,12.96,9.07,3.89,Credit
2024-08-21,O20241852,C12045,Enterprise,Retail,AMBA,GBA Sur,Verduras,Cebolla Kg,17,1.44,0.09,22.28,15.6,6.68,Cash
2024-05-02,O20240996,C11986,Consumer,Online,Córdoba,Córdoba,Lácteos,Leche 1L,6,1.75,0.0,10.5,8.19,2.31,Credit
2025-05-12,O20243907,C10576,Consumer,Online,Santa Fe,Rosario,Snacks,Barra Cereal,8,2.79,0.027,21.72,14.12,7.6,Wallet
2024-01-31,O20240239,C13326,SMB,Online,Mendoza,Godoy Cruz,Panificados,Medialunas Docena,17,1.51,0.13,22.33,14.96,7.37,Debit
2024-10-08,O20242242,C12795,Consumer,Online,AMBA,CABA,Verduras,Cebolla Kg,3,1.97,0.04,5.67,3.97,1.7,Debit
2024-11-03,O20242415,C12908,Consumer,Online,Santa Fe,Rafaela,Snacks,Barra Cereal,2,2.5,0.087,4.57,2.97,1.6,Debit
2024-05-27,O20241182,C11507,Consumer,Online,Santa Fe,Rafaela,Verduras,Cebolla Kg,20,2.4,0.097,43.34,30.34,13.0,Debit
2024-08-27,O20241898,C11047,SMB,Retail,Mendoza,San Rafael,Suplementos,Whey 1kg,18,34.61,0.044,595.57,327.56,268.01,Credit
2024-12-15,O20242736,C13412,Consumer,Online,Córdoba,Río Cuarto,Bebidas,Energética,14,1.95,0.15,23.2,17.4,5.8,Debit
2024-05-04,O20241003,C10969,SMB,Retail,AMBA,GBA Norte,Snacks,Barra Cereal,3,2.6,0.008,7.74,5.03,2.71,Credit
2025-01-20,O20243022,C12211,Consumer,Online,Mendoza,Godoy Cruz,Suplementos,Multivitamínico,11,20.72,0.092,206.95,113.82,93.13,Cash
2025-09-28,O20244995,C10756,Consumer,Online,AMBA,CABA,Bebidas,Jugo Naranja,3,1.61,0.091,4.39,3.29,1.1,Credit
2024-12-06,O20242665,C12969,Consumer,Online,Santa Fe,Rosario,Bebidas,Jugo Naranja,9,2.05,0.108,16.46,12.34,4.12,Credit
2024-03-02,O20240511,C10084,SMB,Wholesale,LatAm,Montevideo,Snacks,Papas Onduladas,8,1.9,0.145,13.0,8.45,4.55,Wallet
2025-05-23,O20243983,C11499,Enterprise,Online,Mendoza,Godoy Cruz,Panificados,Pan Lacteado,16,2.19,0.131,30.45,20.4,10.05,Cash
2025-07-30,O20244537,C10006,Consumer,Wholesale,Santa Fe,Rosario,Lácteos,Yogur 1L,8,2.35,0.073,17.43,13.6,3.83,Cash
2025-03-12,O20243448,C12516,Consumer,Wholesale,LatAm,Asunción,Panificados,Pan Lacteado,15,1.81,0.092,24.65,16.52,8.13,Cash
2025-06-08,O20244134,C12347,Consumer,Retail,Santa Fe,Rosario,Lácteos,Yogur 1L,15,1.91,0.088,26.13,20.38,5.75,Cash
2024-10-17,O20242304,C10707,Consumer,Online,AMBA,GBA Sur,Snacks,Mix Frutos Secos,18,1.62,0.054,27.59,17.93,9.66,Cash
2025-01-16,O20242990,C12018,Consumer,Wholesale,Mendoza,San Rafael,Verduras,Lechuga Unidad,17,2.02,0.0,34.34,24.04,10.3,Credit
2024-05-07,O20241024,C11005,Consumer,Retail,LatAm,Santiago,Bebidas,Jugo Naranja,15,1.94,0.075,26.92,20.19,6.73,Credit
2024-10-02,O20242196,C12202,SMB,Online,AMBA,GBA Oeste,Lácteos,Leche 1L,6,1.0,0.092,5.45,4.25,1.2,Wallet
2024-10-07,O20242229,C10234,Consumer,Online,Mendoza,Godoy Cruz,Snacks,Mix Frutos Secos,8,3.13,0.014,24.69,16.05,8.64,Transfer
2024-12-29,O20242837,C13466,Consumer,Retail,Mendoza,Godoy Cruz,Panificados,Medialunas Docena,11,2.02,0.066,20.75,13.9,6.85,Credit
2024-11-12,O20242485,C11963,SMB,Online,Rosario,Rosario,Verduras,Tomate Kg,15,1.61,0.059,22.73,15.91,6.82,Transfer
2025-05-22,O20243972,C13151,Consumer,Online,Córdoba,Río Cuarto,Verduras,Lechuga Unidad,15,2.69,0.075,37.32,26.12,11.2,Cash
2025-09-08,O20244835,C13246,SMB,Online,AMBA,CABA,Lácteos,Yogur 1L,18,2.98,0.078,49.46,38.58,10.88,Debit
2025-03-07,O20243409,C10309,Consumer,Online,AMBA,CABA,Lácteos,Yogur 1L,18,2.35,0.07,39.34,30.69,8.65,Cash
2025-06-12,O20244172,C10988,SMB,Online,Mendoza,Mendoza,Verduras,Tomate Kg,6,2.24,0.034,12.98,9.09,3.89,Credit
2024-06-03,O20241234,C12083,SMB,Online,Rosario,Rosario,Verduras,Cebolla Kg,16,2.0,0.0,32.0,22.4,9.6,Debit
2024-06-27,O20241426,C11477,Consumer,Online,LatAm,Asunción,Lácteos,Yogur 1L,16,2.99,0.101,43.01,33.55,9.46,Transfer
2024-08-14,O20241797,C12521,Consumer,Wholesale,Rosario,Rosario,Panificados,Pan Integral,19,1.04,0.068,18.42,12.34,6.08,Credit
2025-04-26,O20243788,C11715,Consumer,Online,Córdoba,Córdoba,Verduras,Cebolla Kg,12,2.3,0.052,26.16,18.31,7.85,Transfer
2024-09-17,O20242075,C12308,Consumer,Online,LatAm,Santiago,Snacks,Mix Frutos Secos,1,3.09,0.034,2.98,1.94,1.04,Credit
2025-01-15,O20242974,C12812,Consumer,Online,LatAm,Lima,Bebidas,Gaseosa Cola,2,1.88,0.029,3.65,2.74,0.91,Credit
2024-05-31,O20241213,C12096,SMB,Online,AMBA,CABA,Verduras,Lechuga Unidad,5,1.99,0.041,9.54,6.68,2.86,Debit
2024-11-27,O20242607,C11894,Consumer,Online,AMBA,GBA Norte,Frutas,Naranja Kg,7,1.44,0.032,9.76,7.03,2.73,Wallet
2024-01-03,O20240015,C10142,SMB,Online,Santa Fe,Rosario,Lácteos,Yogur 1L,12,1.58,0.183,15.49,12.08,3.41,Wallet
2024-03-22,O20240671,C12901,SMB,Online,AMBA,GBA Oeste,Lácteos,Leche 1L,17,2.65,0.025,43.92,34.26,9.66,Transfer
2025-08-08,O20244598,C12016,Consumer,Online,Rosario,Rosario,Bebidas,Gaseosa Cola,13,1.46,0.13,16.51,12.38,4.13,Credit
2025-01-30,O20243098,C11936,Consumer,Retail,Mendoza,Mendoza,Frutas,Manzana Kg,17,3.14,0.019,52.37,37.71,14.66,Cash
2024-08-01,O20241681,C10610,Enterprise,Retail,AMBA,GBA Norte,Panificados,Pan Lacteado,13,1.44,0.111,16.64,11.15,5.49,Credit
2025-02-23,O20243289,C12698,Consumer,Retail,Santa Fe,Rosario,Panificados,Pan Integral,6,1.67,0.008,9.94,6.66,3.28,Transfer
2024-07-25,O20241637,C10505,Consumer,Retail,AMBA,GBA Norte,Verduras,Cebolla Kg,2,2.5,0.12,4.4,3.08,1.32,Credit
2025-02-26,O20243320,C12399,SMB,Online,AMBA,GBA Norte,Frutas,Manzana Kg,12,2.77,0.132,28.85,20.77,8.08,Credit
2024-04-12,O20240835,C10441,SMB,Online,Mendoza,Godoy Cruz,Frutas,Naranja Kg,13,2.75,0.151,30.35,21.85,8.5,Credit
2024-01-16,O20240118,C11269,Consumer,Online,LatAm,Asunción,Lácteos,Queso Cremoso 500g,5,1.32,0.12,5.81,4.53,1.28,Credit
2024-02-01,O20240248,C13019,Consumer,Online,Santa Fe,Santa Fe,Lácteos,Yogur 1L,12,1.77,0.168,17.67,13.78,3.89,Cash
2024-05-12,O20241066,C10485,Enterprise,Online,Santa Fe,Rafaela,Snacks,Barra Cereal,4,2.45,0.0,9.8,6.37,3.43,Credit
2025-03-14,O20243456,C11232,SMB,Retail,AMBA,GBA Oeste,Bebidas,Agua 500ml,13,1.89,0.191,19.88,14.91,4.97,Wallet
2024-10-31,O20242399,C11531,SMB,Online,AMBA,CABA,Panificados,Medialunas Docena,3,1.99,0.222,4.64,3.11,1.53,Credit
2024-01-12,O20240084,C12567,SMB,Retail,LatAm,Asunción,Lácteos,Queso Cremoso 500g,1,1.12,0.148,0.95,0.74,0.21,Cash
2024-09-09,O20242001,C12800,Consumer,Retail,AMBA,CABA,Suplementos,Multivitamínico,5,23.26,0.04,111.65,61.41,50.24,Credit
2024-06-02,O20241229,C13259,Enterprise,Online,Mendoza,San Rafael,Lácteos,Leche 1L,1,1.17,0.0,1.17,0.91,0.26,Transfer
2024-07-23,O20241621,C12024,SMB,Retail,LatAm,Santiago,Panificados,Pan Integral,9,1.57,0.073,13.1,8.78,4.32,Cash
2024-11-10,O20242465,C12268,Consumer,Online,AMBA,GBA Sur,Verduras,Lechuga Unidad,11,2.55,0.049,26.68,18.68,8.0,Credit
2025-02-03,O20243138,C11189,Consumer,Online,Mendoza,San Rafael,Lácteos,Leche 1L,1,2.76,0.043,2.64,2.06,0.58,Credit
2024-05-04,O20241002,C13007,SMB,Wholesale,Mendoza,Mendoza,Panificados,Medialunas Docena,14,2.0,0.077,25.84,17.31,8.53,Transfer
2024-09-25,O20242142,C13110,Consumer,Online,Mendoza,San Rafael,Verduras,Zanahoria Kg,15,2.34,0.082,32.22,22.55,9.67,Debit
2024-11-27,O20242601,C11921,Enterprise,Wholesale,Santa Fe,Rafaela,Bebidas,Agua 1.5L,11,1.12,0.06,11.58,8.68,2.9,Cash
2024-02-10,O20240328,C10098,SMB,Online,Santa Fe,Rafaela,Lácteos,Yogur 1L,20,1.16,0.038,22.32,17.41,4.91,Debit
2024-05-14,O20241084,C11689,Consumer,Online,Santa Fe,Rafaela,Lácteos,Yogur 1L,19,1.86,0.048,33.64,26.24,7.4,Wallet
2024-02-29,O20240495,C10041,Consumer,Online,Córdoba,Córdoba,Lácteos,Queso Cremoso 500g,14,2.41,0.067,31.48,24.55,6.93,Credit
2024-07-19,O20241595,C13162,SMB,Online,Córdoba,Villa María,Frutas,Banana Kg,2,3.07,0.061,5.77,4.15,1.62,Credit
2024-12-26,O20242814,C11644,Consumer,Retail,LatAm,Lima,Frutas,Banana Kg,18,2.32,0.198,33.49,24.11,9.38,Wallet
2024-02-22,O20240439,C13051,Consumer,Retail,Mendoza,Mendoza,Bebidas,Agua 1.5L,4,1.49,0.125,5.22,3.92,1.3,Credit
2024-04-05,O20240775,C10656,SMB,Retail,Santa Fe,Rosario,Frutas,Naranja Kg,9,2.82,0.025,24.75,17.82,6.93,Transfer
2025-07-19,O20244449,C10952,Consumer,Retail,Córdoba,Villa María,Verduras,Tomate Kg,17,1.55,0.091,23.95,16.77,7.18,Credit
2025-03-19,O20243507,C10616,SMB,Retail,Santa Fe,Rafaela,Frutas,Uva Kg,5,3.13,0.0,15.65,11.27,4.38,Credit
2025-08-16,O20244646,C12599,Consumer,Online,Mendoza,Godoy Cruz,Panificados,Pan Lacteado,18,1.4,0.053,23.86,15.99,7.87,Credit
2024-07-27,O20241653,C10378,Enterprise,Retail,AMBA,CABA,Bebidas,Gaseosa Cola,9,1.97,0.109,15.8,11.85,3.95,Credit
2024-07-17,O20241580,C11426,Consumer,Retail,Santa Fe,Rosario,Suplementos,Whey 1kg,20,26.14,0.012,516.53,284.09,232.44,Debit
2025-09-28,O20244990,C12083,Consumer,Wholesale,LatAm,Lima,Verduras,Lechuga Unidad,14,1.28,0.092,16.27,11.39,4.88,Credit
2024-10-07,O20242237,C11242,Consumer,Retail,Córdoba,Río Cuarto,Verduras,Lechuga Unidad,5,2.32,0.015,11.43,8.0,3.43,Credit
2024-01-19,O20240146,C10755,Consumer,Retail,Santa Fe,Santa Fe,Bebidas,Gaseosa Cola,9,1.4,0.0,12.6,9.45,3.15,Credit
2025-04-18,O20243733,C10924,SMB,Online,AMBA,GBA Norte,Snacks,Papas Onduladas,9,3.14,0.049,26.88,17.47,9.41,Debit
2025-06-05,O20244103,C12896,SMB,Online,LatAm,Lima,Verduras,Lechuga Unidad,18,1.97,0.145,30.32,21.22,9.1,Credit
2025-03-05,O20243390,C12605,Consumer,Wholesale,Santa Fe,Santa Fe,Frutas,Banana Kg,6,1.82,0.143,9.36,6.74,2.62,Credit
2025-05-17,O20243941,C11025,Consumer,Online,Córdoba,Córdoba,Snacks,Mix Frutos Secos,13,2.92,0.084,34.77,22.6,12.17,Wallet
2024-03-26,O20240701,C12436,Consumer,Online,Rosario,Rosario,Panificados,Pan Integral,10,1.17,0.021,11.45,7.67,3.78,Credit
2025-01-06,O20242899,C13442,Consumer,Retail,LatAm,Montevideo,Lácteos,Queso Cremoso 500g,14,1.64,0.23,17.68,13.79,3.89,Cash
2024-11-04,O20242420,C10502,SMB,Online,Santa Fe,Rosario,Panificados,Medialunas Docena,9,1.66,0.099,13.46,9.02,4.44,Cash
2024-05-19,O20241113,C11840,Consumer,Online,Córdoba,Villa María,Verduras,Lechuga Unidad,4,2.05,0.125,7.17,5.02,2.15,Wallet
2025-08-06,O20244588,C11472,SMB,Online,Rosario,Rosario,Bebidas,Jugo Naranja,17,1.57,0.037,25.7,19.28,6.42,Credit
2024-01-10,O20240072,C11104,Enterprise,Online,Mendoza,Godoy Cruz,Panificados,Medialunas Docena,6,1.64,0.159,8.28,5.55,2.73,Credit
2024-02-15,O20240381,C10225,Consumer,Online,Córdoba,Villa María,Panificados,Pan Lacteado,8,1.87,0.119,13.18,8.83,4.35,Debit
2024-06-12,O20241309,C11129,Consumer,Retail,Mendoza,Mendoza,Lácteos,Yogur 1L,12,1.97,0.068,22.03,17.18,4.85,Transfer
2024-03-11,O20240577,C12731,Enterprise,Online,AMBA,GBA Sur,Frutas,Naranja Kg,17,1.59,0.077,24.95,17.96,6.99,Wallet
2024-01-26,O20240202,C10942,Consumer,Online,Córdoba,Córdoba,Snacks,Mix Frutos Secos,6,3.11,0.111,16.59,10.78,5.81,Wallet
2024-04-12,O20240833,C10834,Consumer,Retail,LatAm,Santiago,Verduras,Zanahoria Kg,17,1.83,0.06,29.24,20.47,8.77,Wallet
2025-01-13,O20242958,C10380,Consumer,Wholesale,Santa Fe,Santa Fe,Verduras,Lechuga Unidad,17,1.69,0.081,26.4,18.48,7.92,Cash
2024-07-06,O20241495,C11668,Consumer,Retail,AMBA,CABA,Frutas,Banana Kg,11,1.82,0.01,19.82,14.27,5.55,Credit
